Date,HPI
01/01/1979,211671.2
01/02/1979,211850.73
01/03/1979,212507.44
01/04/1979,212827.94
01/05/1979,212874.63
01/06/1979,213183.52
01/07/1979,213213.38
01/08/1979,213317.84
01/09/1979,212817.17
01/10/1979,212991.65
01/11/1979,212541.21
01/12/1979,211592.32
01/01/1980,209657.66
01/02/1980,207929.23
01/03/1980,206562.78
01/04/1980,206182.22
01/05/1980,205611.76
01/06/1980,204609.18
01/07/1980,206030.34
01/08/1980,205740.89
01/09/1980,205018.8
01/10/1980,203921.56
01/11/1980,203064.5
01/12/1980,201978.36
01/01/1981,200970.44
01/02/1981,199711.58
01/03/1981,199541.38
01/04/1981,199963.49
01/05/1981,199784.65
01/06/1981,199301.25
01/07/1981,198137.98
01/08/1981,197644.25
01/09/1981,196106.32
01/10/1981,195951.74
01/11/1981,195336.41
01/12/1981,194868.77
01/01/1982,194380.23
01/02/1982,194077.38
01/03/1982,194175.47
01/04/1982,193610.26
01/05/1982,192042.22
01/06/1982,189650.96
01/07/1982,188628.33
01/08/1982,188157.65
01/09/1982,187838.45
01/10/1982,187268.44
01/11/1982,187662.11
01/12/1982,188750.54
01/01/1983,188994.23
01/02/1983,189783.08
01/03/1983,190569.37
01/04/1983,190191.37
01/05/1983,189991.13
01/06/1983,190346.66
01/07/1983,190667.03
01/08/1983,190939.37
01/09/1983,190498.45
01/10/1983,190289.52
01/11/1983,190173.18
01/12/1983,190482.16
01/01/1984,189913.33
01/02/1984,189594.73
01/03/1984,190088.9
01/04/1984,190226.87
01/05/1984,190869.72
01/06/1984,191414.72
01/07/1984,191732.48
01/08/1984,191914.87
01/09/1984,191566.05
01/10/1984,191373.3
01/11/1984,191401.84
01/12/1984,191815.5
01/01/1985,192110.32
01/02/1985,192072.03
01/03/1985,192440.48
01/04/1985,192843.56
01/05/1985,193594.48
01/06/1985,194443.64
01/07/1985,195472.72
01/08/1985,196456.28
01/09/1985,197181.08
01/10/1985,197567.83
01/11/1985,198102.34
01/12/1985,198609.86
01/01/1986,199255.09
01/02/1986,200983.81
01/03/1986,203429.46
01/04/1986,205681.6
01/05/1986,207066.61
01/06/1986,207979.26
01/07/1986,210043.66
01/08/1986,211478.32
01/09/1986,212082.81
01/10/1986,213078.66
01/11/1986,213950.26
01/12/1986,215329.99
01/01/1987,215281.32
01/02/1987,215855.58
01/03/1987,216018.3
01/04/1987,216550.83
01/05/1987,217693.99
01/06/1987,219140.11
01/07/1987,220423.39
01/08/1987,220842.86
01/09/1987,220849.8
01/10/1987,221183.79
01/11/1987,221613.62
01/12/1987,222430.35
01/01/1988,222622.78
01/02/1988,223124.97
01/03/1988,223479.2
01/04/1988,223818.8
01/05/1988,225035.04
01/06/1988,226178.59
01/07/1988,227182.55
01/08/1988,227805.72
01/09/1988,227503.78
01/10/1988,227521.42
01/11/1988,228090.79
01/12/1988,228372.84
01/01/1989,228286.31
01/02/1989,228428.44
01/03/1989,228478.08
01/04/1989,228390.31
01/05/1989,228400.14
